name,door_1895_closed_open,door_1895_open_closed,door_1895_open,door_1895_closed,door_action_1895_act_opened,door_action_1895_act_closed,door_action_1895_act_not_opened_closed,stamp,hash
encatada,100,0,0,0,100,0,0,2012-11-04 11:18:04,192489590
maria pavlovskaia,100,0,0,0,100,0,0,2012-11-05 04:35:13,1100079328
Dennis Morrow,100,0,0,0,100,0,0,2012-11-05 19:23:17,990917713
Arash,100,0,0,0,100,0,0,2012-11-06 12:38:43,1858481406
FengXu,100,0,0,0,100,0,0,2012-11-06 15:19:21,248425953
Barbara Morrow,100,0,0,0,100,0,0,2012-11-07 13:55:59,1564403967
causalgrammar,0,0,0,100,0,0,100,2012-11-14 01:29:09,1234567890
