name,doorlock_814_lock_unlocked,doorlock_814_unlocked_lock,doorlock_814_locked,doorlock_814_unlocked,doorlock_940_lock_unlocked,doorlock_940_unlocked_lock,doorlock_940_locked,doorlock_940_unlocked,doorlock_986_lock_unlocked,doorlock_986_unlocked_lock,doorlock_986_locked,doorlock_986_unlocked,doorlock_action_814_act_knock,doorlock_action_814_act_none,doorlock_action_940_act_knock,doorlock_action_940_act_none,doorlock_action_986_act_knock,doorlock_action_986_act_none,door_814_closed_open,door_814_open_closed,door_814_open,door_814_closed,door_940_closed_open,door_940_open_closed,door_940_open,door_940_closed,door_986_closed_open,door_986_open_closed,door_986_open,door_986_closed,door_action_814_act_opened,door_action_814_act_closed,door_action_814_act_not_opened_closed,door_action_940_act_opened,door_action_940_act_closed,door_action_940_act_not_opened_closed,door_action_986_act_opened,door_action_986_act_closed,door_action_986_act_not_opened_closed,stamp,hash
amy,0,0,100,0,100,0,0,0,0,80,0,20,100,0,100,0,0,100,0,0,0,100,100,0,0,0,0,100,0,0,0,0,100,100,0,0,0,100,0,2012-11-02 20:21:50,843866765
Dennis Morrow,0,0,95,5,95,0,0,5,25,25,25,25,99,1,99,1,0,100,0,0,0,100,100,0,0,0,0,100,0,0,0,0,100,99,0,1,0,99,1,2012-11-04 23:23:26,34794670
Barbara Morrow,0,0,100,0,100,0,0,0,100,0,0,0,100,0,100,0,0,100,0,0,0,100,100,0,0,0,0,100,0,0,0,0,100,100,0,0,0,100,0,2012-11-05 17:50:49,1078999702
Arash,0,0,100,0,100,0,0,0,0,100,0,0,100,0,100,0,0,100,0,0,0,100,100,0,0,0,0,100,0,0,0,0,100,100,0,0,0,100,0,2012-11-06 12:23:55,873094443
MengMeng,0,0,100,0,100,0,0,0,0,100,0,0,100,0,100,0,0,100,0,0,0,100,100,0,0,0,0,100,0,0,0,0,100,100,0,0,0,100,0,2012-11-06 16:58:59,884823256
