name,door_299_closed_open,door_299_open_closed,door_299_open,door_299_closed,door_328_closed_open,door_328_open_closed,door_328_open,door_328_closed,door_350_closed_open,door_350_open_closed,door_350_open,door_350_closed,door_368_closed_open,door_368_open_closed,door_368_open,door_368_closed,door_401_closed_open,door_401_open_closed,door_401_open,door_401_closed,door_559_closed_open,door_559_open_closed,door_559_open,door_559_closed,door_action_299_act_opened,door_action_299_act_closed,door_action_299_act_not_opened_closed,door_action_328_act_opened,door_action_328_act_closed,door_action_328_act_not_opened_closed,door_action_350_act_opened,door_action_350_act_closed,door_action_350_act_not_opened_closed,door_action_368_act_opened,door_action_368_act_closed,door_action_368_act_not_opened_closed,door_action_401_act_opened,door_action_401_act_closed,door_action_401_act_not_opened_closed,door_action_559_act_opened,door_action_559_act_closed,door_action_559_act_not_opened_closed,phone_299_off_active,phone_299_active_off,phone_299_active,phone_299_off,phone_328_off_active,phone_328_active_off,phone_328_active,phone_328_off,phone_350_off_active,phone_350_active_off,phone_350_active,phone_350_off,phone_368_off_active,phone_368_active_off,phone_368_active,phone_368_off,phone_401_off_active,phone_401_active_off,phone_401_active,phone_401_off,phone_559_off_active,phone_559_active_off,phone_559_active,phone_559_off,ringer_299_ring,ringer_299_no_ring,ringer_328_ring,ringer_328_no_ring,ringer_350_ring,ringer_350_no_ring,ringer_368_ring,ringer_368_no_ring,ringer_401_ring,ringer_401_no_ring,ringer_559_ring,ringer_559_no_ring,phone_action_299_act_received_call,phone_action_299_act_no_call,phone_action_328_act_received_call,phone_action_328_act_no_call,phone_action_350_act_received_call,phone_action_350_act_no_call,phone_action_368_act_received_call,phone_action_368_act_no_call,phone_action_401_act_received_call,phone_action_401_act_no_call,phone_action_559_act_received_call,phone_action_559_act_no_call,light_299_off_on,light_299_on_off,light_299_on,light_299_off,light_328_off_on,light_328_on_off,light_328_on,light_328_off,light_350_off_on,light_350_on_off,light_350_on,light_350_off,light_368_off_on,light_368_on_off,light_368_on,light_368_off,light_401_off_on,light_401_on_off,light_401_on,light_401_off,light_559_off_on,light_559_on_off,light_559_on,light_559_off,light_action_299_act_pushbutton,light_action_299_act_no_pushbutton,light_action_328_act_pushbutton,light_action_328_act_no_pushbutton,light_action_350_act_pushbutton,light_action_350_act_no_pushbutton,light_action_368_act_pushbutton,light_action_368_act_no_pushbutton,light_action_401_act_pushbutton,light_action_401_act_no_pushbutton,light_action_559_act_pushbutton,light_action_559_act_no_pushbutton,screen_299_off_on,screen_299_on_off,screen_299_on,screen_299_off,screen_328_off_on,screen_328_on_off,screen_328_on,screen_328_off,screen_350_off_on,screen_350_on_off,screen_350_on,screen_350_off,screen_368_off_on,screen_368_on_off,screen_368_on,screen_368_off,screen_401_off_on,screen_401_on_off,screen_401_on,screen_401_off,screen_559_off_on,screen_559_on_off,screen_559_on,screen_559_off,screen_action_299_act_mousekeyboard,screen_action_299_act_no_mousekeyboard,screen_action_328_act_mousekeyboard,screen_action_328_act_no_mousekeyboard,screen_action_350_act_mousekeyboard,screen_action_350_act_no_mousekeyboard,screen_action_368_act_mousekeyboard,screen_action_368_act_no_mousekeyboard,screen_action_401_act_mousekeyboard,screen_action_401_act_no_mousekeyboard,screen_action_559_act_mousekeyboard,screen_action_559_act_no_mousekeyboard,stamp,hash
amy,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,100,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,0,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,100,0,100,0,100,0,100,0,100,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,100,0,100,100,0,100,0,0,100,0,100,0,0,20,80,0,0,20,80,0,0,20,80,0,0,20,80,0,0,20,80,70,0,30,0,0,100,0,100,0,100,0,100,0,100,100,0,2012-11-02 16:30:37,661209038
Arash,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,100,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,80,20,0,0,0,20,80,50,50,0,100,0,100,0,100,0,100,5,95,100,0,100,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,100,0,0,0,0,0,100,0,0,0,100,0,0,100,0,100,60,40,100,0,0,100,0,100,0,0,30,70,0,0,30,70,0,0,30,70,0,0,30,70,0,0,30,70,70,0,30,0,0,100,0,100,0,100,0,100,0,100,100,0,2012-11-03 12:01:50,2129366505
encatada,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,100,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,0,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,100,0,100,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,100,0,100,100,0,100,0,0,100,0,100,0,0,100,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,0,100,20,0,0,80,0,100,0,100,0,100,0,100,0,100,100,0,2012-11-03 14:18:12,1854984143
Dennis Morrow,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,100,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,0,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,100,0,100,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,0,100,100,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,100,0,100,0,0,100,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,100,0,100,0,100,0,100,100,0,2012-11-05 20:29:52,1294227779
FengXu,100,0,0,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,100,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,0,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,100,0,100,0,100,0,100,0,100,0,0,100,0,0,50,50,0,0,50,50,0,100,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,100,0,100,100,0,100,0,0,100,0,100,0,0,50,50,0,0,50,50,0,0,50,50,0,0,50,50,0,0,50,50,50,0,50,0,0,100,0,100,0,100,0,100,20,80,100,0,2012-11-06 15:07:54,798522057
Barbara Morrow,100,0,0,0,0,100,0,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,0,0,0,100,0,100,0,100,0,100,0,100,0,100,0,100,100,0,100,0,100,0,100,0,100,0,0,100,0,0,0,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,100,0,0,0,100,0,0,100,0,100,100,0,100,0,0,100,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,100,0,100,0,100,0,100,0,100,100,0,2012-11-07 15:59:21,1528642549
