name,screen_1207_off_on,screen_1207_on_off,screen_1207_on,screen_1207_off,screen_1310_off_on,screen_1310_on_off,screen_1310_on,screen_1310_off,screen_action_1207_act_mousekeyboard,screen_action_1207_act_no_mousekeyboard,screen_action_1310_act_mousekeyboard,screen_action_1310_act_no_mousekeyboard,stamp,hash
amy,100,0,0,0,0,0,100,0,100,0,100,0,2012-11-02 14:08:06,834658307
wzhu,100,0,0,0,0,0,100,0,100,0,100,0,2012-11-03 01:46:38,419209258
Arash,100,0,0,0,0,0,100,0,100,0,100,0,2012-11-03 11:11:55,1963369878
Dennis Morrow,100,0,0,0,0,0,100,0,100,0,100,0,2012-11-05 19:34:53,1230026990
FengXu,100,0,0,0,0,0,100,0,100,0,100,0,2012-11-06 20:20:58,530635557
Barbara Morrow,100,0,0,0,0,0,100,0,100,0,100,0,2012-11-07 12:21:00,1506770142
